Colname,Conformity,Continent,Label
Quizalofop-p-ethyl|soil|agricultural,Acceptable conformity,Europe,63
Scandium|soil|unspecified,Nonconformity,Europe,64
Silicon|soil|unspecified,Nonconformity,Europe,65
Silver I|soil|unspecified,Acceptable conformity,Europe,66
Strontium II|soil|industrial,Acceptable conformity,Europe,67
Sulfentrazone|soil|agricultural,Marginally acceptable conformity,Europe,68
Sulfur|soil|industrial,Acceptable conformity,Europe,69
Sulfur|soil|unspecified,Marginally acceptable conformity,Europe,70
Thallium I|soil|industrial,Acceptable conformity,Europe,71
Thallium I|soil|unspecified,Marginally acceptable conformity,Europe,72
Thifensulfuron-methyl|soil|agricultural,Acceptable conformity,Europe,73
Thiram|soil|agricultural,Close conformity,Europe,74
Tin ion|soil|unspecified,Nonconformity,Europe,75
Titanium ion|soil|agricultural,Acceptable conformity,Europe,76
Titanium ion|soil|industrial,Acceptable conformity,Europe,77
Titanium ion|soil|unspecified,Marginally acceptable conformity,Europe,78
Trichlorfon|soil|agricultural,Close conformity,Europe,79
Trifloxystrobin|soil|agricultural,Acceptable conformity,Europe,80
Trifloxystrobin|soil|forestry,Acceptable conformity,Europe,81
Trinexapac-ethyl|soil|agricultural,Acceptable conformity,Europe,82
Vanadium V|soil|industrial,Acceptable conformity,Europe,83
Vanadium V|soil|unspecified,Nonconformity,Europe,84
Zeta-cypermethrin|soil|agricultural,Acceptable conformity,Europe,85
Zinc II|soil|industrial,Acceptable conformity,Europe,86
"2,4-DB|soil|agricultural",Marginally acceptable conformity,South America,1
Acrinathrin|soil|agricultural,Acceptable conformity,South America,2
Aluminium III|soil|industrial,Nonconformity,South America,3
Antimony ion|soil|agricultural,Nonconformity,South America,4
Asulam|soil|agricultural,Acceptable conformity,South America,5
Atrazine|soil|agricultural,Acceptable conformity,South America,6
Barium II|soil|agricultural,Nonconformity,South America,7
Benomyl|soil|agricultural,Marginally acceptable conformity,South America,8
Beryllium II|soil|industrial,Acceptable conformity,South America,9
Beryllium II|soil|unspecified,Acceptable conformity,South America,10
Beta-cyfluthrin|soil|agricultural,Marginally acceptable conformity,South America,11
Boron|soil|agricultural,Marginally acceptable conformity,South America,12
Boron|soil|industrial,Nonconformity,South America,13
Bromine|soil|industrial,Marginally acceptable conformity,South America,14
Calcium II|soil|unspecified,Acceptable conformity,South America,15
Carbon|soil|industrial,Marginally acceptable conformity,South America,16
Carbon|soil|unspecified,Marginally acceptable conformity,South America,17
Chlormequat|soil|agricultural,Nonconformity,South America,18
Chlorothalonil|soil|agricultural,Acceptable conformity,South America,19
Chlorotoluron|soil|agricultural,Nonconformity,South America,20
Clothianidin|soil|agricultural,Acceptable conformity,South America,21
Deltamethrin|soil|agricultural,Nonconformity,South America,22
Diafenthiuron|soil|agricultural,Marginally acceptable conformity,South America,23
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|soil|unspecified",Marginally acceptable conformity,South America,24
Ethephon|soil|agricultural,Nonconformity,South America,25
Fenoxaprop ethyl ester|soil|agricultural,Acceptable conformity,South America,26
Flonicamid|soil|agricultural,Marginally acceptable conformity,South America,27
Fluazifop-P-butyl|soil|agricultural,Marginally acceptable conformity,South America,28
Fludioxonil|soil|forestry,Marginally acceptable conformity,South America,29
Flumioxazin|soil|forestry,Nonconformity,South America,30
Fluquinconazole|soil|agricultural,Nonconformity,South America,31
Glufosinate|soil|agricultural,Nonconformity,South America,33
Glufosinate ammonium|soil|agricultural,Nonconformity,South America,32
Glyphosate|soil|forestry,Nonconformity,South America,34
"Heat, waste|soil|agricultural",Acceptable conformity,South America,35
"Hydrocarbons, unspecified|soil|unspecified",Nonconformity,South America,36
Imazethapyr|soil|agricultural,Marginally acceptable conformity,South America,37
Iodosulfuron|soil|agricultural,Acceptable conformity,South America,38
Iron ion|soil|industrial,Marginally acceptable conformity,South America,39
Lenacil|soil|agricultural,Nonconformity,South America,40
Linuron|soil|agricultural,Marginally acceptable conformity,South America,41
MCPB|soil|agricultural,Marginally acceptable conformity,South America,43
Magnesium|soil|industrial,Marginally acceptable conformity,South America,42
Mecoprop-P|soil|agricultural,Nonconformity,South America,44
Mefenpyr-diethyl|soil|agricultural,Marginally acceptable conformity,South America,45
Mercury II|soil|unspecified,Acceptable conformity,South America,46
Metalaxil|soil|agricultural,Marginally acceptable conformity,South America,47
Metamitron|soil|agricultural,Marginally acceptable conformity,South America,48
Nitrogen|soil|industrial,Acceptable conformity,South America,49
Oxyfluorfen|soil|agricultural,Acceptable conformity,South America,50
